beeko@Ubuntu-Beeko:/media/beeko/Beeko/courses/Udacity/SRE/nd087-c3-deployment-roulette/starter/apps/bloatware$ kubectl get pods
NAME                                  READY   STATUS    RESTARTS   AGE
bloaty-mcbloatface-58c98b98d8-4vcqz   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-5l9vr   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-6kfd7   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-6mvw6   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-6rwmj   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-7hsxj   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-84cgd   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-88tbg   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-8f8vs   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-9cf7j   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-d2rsw   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-lkpb6   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-lxch4   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-m9s84   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-nll27   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-wk5w8   1/1     Running   0          5m8s
bloaty-mcbloatface-58c98b98d8-wlm55   1/1     Running   0          5m8s
blue-8475cbdf46-gnh8n                 1/1     Running   0          58m
blue-8475cbdf46-l75b2                 1/1     Running   0          58m
blue-8475cbdf46-xvnp8                 1/1     Running   0          58m
canary-v1-64598c676f-4vxdz            1/1     Running   0          58m
canary-v2-5dc9c56687-kvwwh            1/1     Running   0          56m
canary-v2-5dc9c56687-tnggz            1/1     Running   0          55m
green-5cdd96c9b4-5cfkb                1/1     Running   0          28m
green-5cdd96c9b4-6tqlq                1/1     Running   0          28m
green-5cdd96c9b4-v26x8                1/1     Running   0          28m
hello-world-794458d64d-vhbfs          1/1     Running   0          58m
